epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,51.6428,2.26545,4.866,4.26397,2.09646,0,0.01755,0.13488,0.014,0.00597,0.00854,0.05413,0.00331,0.00067,2.02043,4.53405,4.15051,1.93754,0,0.00018009,0.00018009,0.00018009
2,64.4473,1.80185,3.76577,3.66868,1.64712,0,0.02439,0.34601,0.09996,0.04589,0.01632,0.18352,0.04812,0.01501,1.92899,4.02088,3.9197,1.83627,0,0.000363218,0.000363218,0.000363218
3,77.1078,1.75023,3.35265,3.10469,1.59801,0,0.87518,0.12656,0.1963,0.09385,0.81924,0.07262,0.0931,0.02594,1.85606,3.96408,3.25,1.75859,0,0.000542649,0.000542649,0.000542649
4,96.0961,1.79418,3.14518,2.60478,1.63204,0,0.75255,0.2489,0.23689,0.12153,0.72668,0.18088,0.15849,0.05528,1.80095,3.33676,2.79815,1.79951,0,0.00064719,0.00064719,0.00064719
5,109.822,1.73264,2.96277,2.24681,1.59861,0,0.79501,0.28419,0.27192,0.13759,0.76482,0.22706,0.19045,0.06541,1.78835,3.26342,2.42652,1.84371,0,0.000640587,0.000640587,0.000640587
6,123.682,1.67343,2.90568,2.06865,1.57114,0,0.73416,0.31597,0.32212,0.16487,0.69739,0.25305,0.23589,0.08483,1.68903,3.01529,2.16485,1.73294,0,0.000633983,0.000633983,0.000633983
7,137.485,1.60534,2.77348,1.88895,1.53719,0,0.66374,0.37962,0.35835,0.18372,0.64001,0.30696,0.2693,0.10376,1.67648,2.9308,2.00002,1.72232,0,0.00062738,0.00062738,0.00062738
8,161.697,1.58783,2.71508,1.77343,1.51122,0,0.60755,0.36405,0.35706,0.17887,0.58617,0.30562,0.28069,0.10776,1.72923,2.88165,1.9472,1.68956,0,0.000620777,0.000620777,0.000620777
9,179.941,1.5763,2.68133,1.71745,1.51597,0,0.51318,0.41286,0.38445,0.19935,0.47464,0.35014,0.31993,0.12859,1.65949,2.74,1.91051,1.6612,0,0.000614174,0.000614174,0.000614174
10,200.23,1.52396,2.59367,1.63106,1.47844,0,0.47731,0.45265,0.40162,0.20756,0.43117,0.40441,0.34351,0.12885,1.65628,2.66031,1.858,1.6961,0,0.00060757,0.00060757,0.00060757
11,217.658,1.50759,2.5432,1.5398,1.46302,0,0.56126,0.45222,0.44464,0.24217,0.47989,0.40003,0.36846,0.14919,1.57728,2.57404,1.68777,1.63638,0,0.000600967,0.000600967,0.000600967
12,236.174,1.48527,2.56351,1.56994,1.46654,0,0.57977,0.50854,0.48922,0.2538,0.61956,0.40972,0.40198,0.16028,1.57167,2.52082,1.5909,1.63,0,0.000594364,0.000594364,0.000594364
13,255.898,1.49793,2.54441,1.51827,1.46492,0,0.61947,0.48732,0.49665,0.2648,0.56171,0.43034,0.43007,0.17285,1.51905,2.48093,1.57998,1.56634,0,0.00058776,0.00058776,0.00058776
14,275.172,1.46444,2.4956,1.46115,1.43367,0,0.5562,0.50856,0.497,0.2655,0.51568,0.45065,0.41773,0.17039,1.52234,2.45466,1.5484,1.61101,0,0.000581157,0.000581157,0.000581157
15,293.373,1.44798,2.44358,1.4142,1.43177,0,0.61024,0.47836,0.50094,0.26565,0.54469,0.4309,0.41801,0.16524,1.50951,2.5279,1.5709,1.5624,0,0.000574554,0.000574554,0.000574554
16,311.192,1.4495,2.4424,1.41093,1.42593,0,0.62564,0.45237,0.51277,0.26264,0.55553,0.42006,0.43972,0.17292,1.56257,2.43328,1.56403,1.62048,0,0.00056795,0.00056795,0.00056795
17,329.811,1.41092,2.44756,1.38975,1.40374,0,0.6487,0.53853,0.53995,0.27319,0.57689,0.47414,0.46908,0.1746,1.54149,2.48967,1.46469,1.59115,0,0.000561347,0.000561347,0.000561347
18,347.826,1.39819,2.40152,1.3311,1.4077,0,0.6341,0.54981,0.55147,0.29116,0.61397,0.49572,0.48209,0.19316,1.47225,2.35132,1.42643,1.518,0,0.000554744,0.000554744,0.000554744
19,367.268,1.39761,2.38952,1.30331,1.38722,0,0.61955,0.55077,0.559,0.29761,0.58979,0.50816,0.49408,0.20228,1.4426,2.27745,1.37596,1.51251,0,0.000548141,0.000548141,0.000548141
20,387.079,1.41331,2.39731,1.31802,1.40655,0,0.64855,0.56016,0.56028,0.29106,0.59816,0.48361,0.47724,0.18573,1.5616,2.46715,1.41001,1.60239,0,0.000541537,0.000541537,0.000541537
21,404.135,1.39964,2.36369,1.30853,1.38021,0,0.57421,0.51168,0.50558,0.25708,0.55218,0.43345,0.4395,0.17271,1.56187,2.43115,1.57449,1.60542,0,0.000534934,0.000534934,0.000534934
22,427.041,1.38703,2.34644,1.2843,1.38387,0,0.64043,0.56686,0.57374,0.29536,0.62179,0.47861,0.48269,0.18936,1.51281,2.33932,1.36981,1.56416,0,0.000528331,0.000528331,0.000528331
23,452.172,1.37698,2.34366,1.26924,1.37889,0,0.66651,0.56882,0.58866,0.29893,0.60359,0.50823,0.49373,0.19494,1.54582,2.36462,1.39469,1.58437,0,0.000521727,0.000521727,0.000521727
24,515.733,1.36543,2.33866,1.24166,1.365,0,0.65294,0.55403,0.56775,0.30864,0.60859,0.50199,0.49883,0.20346,1.43572,2.32902,1.35914,1.50611,0,0.000515124,0.000515124,0.000515124
25,534.881,1.34612,2.31021,1.21254,1.34104,0,0.6984,0.56796,0.59317,0.32203,0.67354,0.50892,0.53433,0.21756,1.43097,2.28254,1.33266,1.5004,0,0.000508521,0.000508521,0.000508521
26,551.934,1.32222,2.27734,1.19983,1.33675,0,0.66101,0.58331,0.58887,0.29801,0.62182,0.51484,0.50725,0.20087,1.55041,2.40524,1.35514,1.60165,0,0.000501917,0.000501917,0.000501917
27,568.869,1.33337,2.28408,1.20727,1.34821,0,0.66288,0.58851,0.60016,0.32602,0.61023,0.52886,0.52145,0.20568,1.46649,2.32179,1.32937,1.54671,0,0.000495314,0.000495314,0.000495314
28,585.411,1.31885,2.26475,1.1938,1.34404,0,0.62252,0.56811,0.60581,0.32261,0.56301,0.52739,0.51962,0.21039,1.46198,2.31595,1.33288,1.49952,0,0.000488711,0.000488711,0.000488711
29,603.9,1.31954,2.23991,1.17237,1.3319,0,0.52508,0.56268,0.57259,0.31265,0.52854,0.52667,0.52025,0.21043,1.47241,2.29672,1.32193,1.5023,0,0.000482108,0.000482108,0.000482108
30,681.832,1.32038,2.2487,1.15379,1.33267,0,0.55011,0.57994,0.59262,0.32252,0.53416,0.51082,0.51728,0.21287,1.43419,2.31833,1.33261,1.48527,0,0.000475504,0.000475504,0.000475504
31,738.801,1.30954,2.24104,1.12713,1.32071,0,0.57286,0.5809,0.59135,0.32544,0.51328,0.52308,0.49954,0.20505,1.44885,2.38276,1.32708,1.50701,0,0.000468901,0.000468901,0.000468901
32,793.417,1.28925,2.18211,1.12266,1.30747,0,0.57789,0.57859,0.59268,0.31207,0.54647,0.51491,0.49949,0.20426,1.4721,2.35091,1.33786,1.53048,0,0.000462298,0.000462298,0.000462298
33,823.893,1.28852,2.21535,1.1288,1.3134,0,0.59149,0.60028,0.59657,0.31825,0.53226,0.53563,0.50471,0.20256,1.50682,2.39397,1.33134,1.52772,0,0.000455694,0.000455694,0.000455694
34,831.499,1.27912,2.17996,1.1232,1.2969,0,0.54644,0.5716,0.58734,0.31948,0.51352,0.52143,0.52512,0.20694,1.46286,2.30335,1.32847,1.51883,0,0.000449091,0.000449091,0.000449091
35,839.232,1.25665,2.18152,1.09379,1.28936,0,0.602,0.57233,0.59955,0.32296,0.57143,0.51926,0.53186,0.2183,1.44426,2.26755,1.26084,1.49375,0,0.000442488,0.000442488,0.000442488
36,846.93,1.25872,2.1854,1.0985,1.30941,0,0.60019,0.59415,0.6128,0.33387,0.5587,0.54049,0.53128,0.21552,1.4283,2.26483,1.24005,1.50248,0,0.000435884,0.000435884,0.000435884
37,854.596,1.27285,2.19637,1.10177,1.29319,0,0.60856,0.6101,0.62673,0.33309,0.59094,0.55238,0.54673,0.22179,1.46996,2.27708,1.25268,1.52016,0,0.000429281,0.000429281,0.000429281
38,862.392,1.23771,2.14498,1.06262,1.26467,0,0.59382,0.60311,0.62628,0.34371,0.55088,0.56688,0.56657,0.23295,1.40466,2.2286,1.26982,1.4672,0,0.000422678,0.000422678,0.000422678
39,870.295,1.24404,2.1326,1.05924,1.2748,0,0.61642,0.61961,0.62941,0.34193,0.58448,0.56539,0.55619,0.22687,1.44024,2.31025,1.20295,1.50852,0,0.000416075,0.000416075,0.000416075
40,878.129,1.24553,2.1473,1.04852,1.27442,0,0.61277,0.59808,0.62741,0.34083,0.57406,0.54276,0.54643,0.2227,1.44896,2.33284,1.25712,1.48336,0,0.000409471,0.000409471,0.000409471
41,885.999,1.24073,2.08091,1.0306,1.27398,0,0.59253,0.62493,0.62962,0.34797,0.54064,0.58592,0.56093,0.23313,1.43208,2.25384,1.18272,1.47541,0,0.000402868,0.000402868,0.000402868
42,893.724,1.23391,2.13788,1.03608,1.27701,0,0.68113,0.57121,0.62864,0.33396,0.62784,0.53341,0.55834,0.22343,1.46328,2.29032,1.22271,1.4923,0,0.000396265,0.000396265,0.000396265
43,901.34,1.23108,2.13138,1.03815,1.27699,0,0.63479,0.60688,0.63646,0.35161,0.5875,0.54556,0.54134,0.22515,1.42792,2.30825,1.22206,1.46364,0,0.000389661,0.000389661,0.000389661
44,908.968,1.24776,2.14424,1.06478,1.27898,0,0.58498,0.63172,0.6393,0.35158,0.57651,0.56499,0.56749,0.23797,1.41694,2.24241,1.1844,1.46245,0,0.000383058,0.000383058,0.000383058
45,916.7,1.21825,2.11972,1.02335,1.2656,0,0.57211,0.67452,0.62353,0.32956,0.51855,0.61607,0.53461,0.22618,1.46014,2.26612,1.19958,1.49202,0,0.000376455,0.000376455,0.000376455
46,924.369,1.20998,2.09619,1.00882,1.26582,0,0.62222,0.60838,0.64379,0.3477,0.53623,0.61665,0.56473,0.23344,1.44639,2.25632,1.18155,1.49035,0,0.000369851,0.000369851,0.000369851
47,932.113,1.20818,2.08289,1.0073,1.25501,0,0.59705,0.67234,0.63836,0.34426,0.55176,0.58963,0.55443,0.23042,1.42716,2.26653,1.18692,1.48962,0,0.000363248,0.000363248,0.000363248
48,939.774,1.19872,2.12435,1.00431,1.25131,0,0.61808,0.60796,0.64196,0.35096,0.59314,0.56372,0.56822,0.23809,1.40844,2.24333,1.15752,1.46965,0,0.000356645,0.000356645,0.000356645
49,947.415,1.19353,2.07814,0.99661,1.25598,0,0.61037,0.59112,0.61366,0.33346,0.577,0.54792,0.54699,0.22511,1.43806,2.27914,1.20847,1.48944,0,0.000350042,0.000350042,0.000350042
